,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Apr-15 to 7-Nov-23,,,,,,,,
Date,Particulars,,,,Vch Type,Vch No.,Debit,Credit
01-Apr-15,To,Opening Balance,,,,,29000.00,
25-Mar-19,To,Upad,,,Receipt,1,1980.00,
25-Mar-19,To,Chirag,,,Receipt,2,15000.00,
25-Mar-19,To,Rajnik,,,Receipt,3,10000.00,
26-Mar-19,By,Party With Friends,,,Payment,1,,200.00
26-Mar-19,By,Tour Traveling Expenses,,,Payment,2,,5.00
26-Mar-19,By,Jayesh  Vekariya,,,Payment,3,,25000.00
26-Mar-19,By,Mandal Date Advocate Group 02,,,Payment,4,,19000.00
26-Mar-19,By,Axis Midcap Fund,,,Payment,5,,10000.00
26-Mar-19,By,Food,,,Payment,6,,20.00
26-Mar-19,By,Home Cash Paid,,,Payment,7,,1000.00
26-Mar-19,By,Hair Cut,,,Payment,8,,100.00
27-Mar-19,By,Food,,,Payment,9,,60.00
27-Mar-19,By,Donation,,,Payment,10,,5.00
27-Mar-19,By,Food,,,Payment,11,,40.00
27-Mar-19,By,Home Perquisites,,,Payment,12,,50.00
28-Mar-19,By,Food,,,Payment,13,,20.00
28-Mar-19,By,Food,,,Payment,14,,20.00
28-Mar-19,By,Mahesana,,,Contra,1,,100.00
28-Mar-19,By,Food,,,Payment,15,,60.00
28-Mar-19,To,Alpesh Vithani,,,Receipt,4,2000.00,
28-Mar-19,By,RD Mehsana 5,,,Payment,16,,2000.00
28-Mar-19,To,Misc.Income,,,Receipt,5,5.00,
29-Mar-19,By,Food,,,Payment,18,,10.00
29-Mar-19,By,Food,,,Payment,20,,20.00
29-Mar-19,To,Upad,,,Receipt,7,350.00,
29-Mar-19,By,Home Cash Paid,,,Payment,21,,100.00
30-Mar-19,By,Food,,,Payment,22,,40.00
30-Mar-19,By,Home Medicines,,,Payment,23,,233.00
30-Mar-19,By,Food,,,Payment,24,,45.00
30-Mar-19,By,Home Perquisites,,,Payment,25,,29.00
30-Mar-19,By,Food,,,Payment,26,,5.00
30-Mar-19,By,Food,,,Payment,28,,40.00
31-Mar-19,By,Food,,,Payment,30,,10.00
31-Mar-19,To,Office Income,,,Receipt,9,4000.00,
31-Mar-19,By,Home Cash Paid,,,Payment,31,,500.00
01-Apr-19,To,IDBI Bank,,,Contra,1,15000.00,
01-Apr-19,By,Office Income,,,Payment,2,,5800.00
01-Apr-19,By,Home Cash Paid,,,Payment,3,,10000.00
01-Apr-19,By,Divyam School Exp.,,,Payment,4,,1000.00
01-Apr-19,To,Office Expense,,,Receipt,3,1210.00,
01-Apr-19,By,Food,,,Payment,5,,20.00
01-Apr-19,By,Food,,,Payment,6,,40.00
02-Apr-19,By,Cash Reserve I,,,Payment,7,,500.00
02-Apr-19,To,Upad,,,Receipt,5,500.00,
